0.003704, 0.148148, 50
0.014815, 0.222222, 50
0.033333, 0.370370, 50
0.059259, 0.518519, 50
0.092593, 0.666667, 50
0.133333, 0.814815, 50
0.181481, 0.962963, 50
0.237037, 1.111111, 50
0.300000, 1.259259, 50
0.370370, 1.407407, 50
0.448148, 1.555556, 50
0.533333, 1.703704, 50
0.625926, 1.851852, 50
0.725926, 2.000000, 50
0.833333, 2.148148, 50
0.948148, 2.296296, 50
1.070370, 2.444444, 50
1.200000, 2.592593, 50
1.337037, 2.740741, 50
1.481481, 2.888889, 50
1.633333, 3.037037, 50
1.792593, 3.185185, 50
1.959259, 3.333333, 50
2.133333, 3.481481, 50
2.318947, 3.712269, 50
2.565596, 4.932991, 50
2.831715, 5.322376, 50
3.115205, 5.669803, 50
3.413407, 5.964039, 50
3.728204, 6.295943, 50
4.060169, 6.639287, 50
4.407265, 6.941919, 50
4.763914, 7.132977, 50
5.121634, 7.154411, 50
5.471586, 6.999031, 50
5.807378, 6.715844, 50
6.126195, 6.376353, 50
6.428123, 6.038555, 50
6.714841, 5.734351, 50
6.988577, 5.474726, 50
7.251530, 5.259048, 50
7.436565, 3.700705, 50
7.595140, 3.171511, 50
7.747397, 3.045130, 50
7.891976, 2.891577, 50
8.027238, 2.705237, 50
8.151291, 2.481077, 50
8.262151, 2.217187, 50
8.358137, 1.919715, 50
8.438651, 1.610297, 50
8.505279, 1.332554, 50
8.562684, 1.148098, 50
8.618319, 1.112700, 50
8.680456, 1.242735, 50
8.755629, 1.503458, 50
8.847253, 1.832493, 50
8.955207, 2.159073, 50
9.075619, 2.408245, 50
9.203906, 2.565739, 50
9.337094, 2.663758, 50
9.472749, 2.713095, 50
9.608949, 2.724004, 50
9.744196, 2.704929, 50
9.877316, 2.662418, 50
10.007387, 2.601412, 50
10.133667, 2.525592, 50
10.255551, 2.437690, 50
10.372537, 2.339727, 50
10.484197, 2.233199, 50
10.590158, 2.119217, 50
10.690089, 1.998608, 50
10.783689, 1.871998, 50
10.870682, 1.739873, 50
10.950814, 1.602628, 50
11.023844, 1.460610, 50
11.089551, 1.314143, 50
11.147729, 1.163561, 50
11.198190, 1.009222, 50
11.240766, 0.851520, 50
11.275311, 0.690897, 50
11.301703, 0.527840, 50
11.319848, 0.362884, 50
11.329678, 0.196601, 50
11.332507, 0.056595, 50
11.332507, 0.000000, 50
